@relation restaurants_trained_set-weka.filters.unsupervised.attribute.Remove-R1_predicted

@attribute parking_lot {public,none,yes,'valet parking',fee}
@attribute price {medium,low,high}
@attribute rating numeric
@attribute food_rating numeric
@attribute service_rating numeric
@attribute 'prediction margin' numeric
@attribute 'predicted y/n' {y,n}
@attribute y/n {y,n}
@attribute Food_Type {'Non Veg',Veg,Mexican,Chinese}

@data
public,medium,1,2,2,0.424242,y,?,'Non Veg'
none,low,2,2,1,0.424242,y,?,Veg
none,medium,2,1,2,0.424242,y,?,'Non Veg'
none,low,1,1,2,0.424242,y,?,Mexican
none,medium,1,1,2,0.424242,y,?,Veg
none,high,0,2,0,0.424242,y,?,'Non Veg'
none,low,1,1,1,0.424242,y,?,Veg
yes,high,0,2,0,0.424242,y,?,'Non Veg'
'valet parking',low,1,1,1,0.424242,y,?,Mexican
'valet parking',medium,2,2,1,0.424242,y,?,Veg
public,medium,0,1,1,0.424242,y,?,'Non Veg'
none,low,1,2,2,0.424242,y,?,'Non Veg'
'valet parking',high,1,2,1,0.424242,y,?,Veg
'valet parking',high,0,2,0,0.424242,y,?,Chinese
yes,medium,1,1,0,0.424242,y,?,'Non Veg'
public,low,1,2,1,0.424242,y,?,'Non Veg'
yes,medium,1,1,2,0.424242,y,?,Veg
none,low,1,2,0,0.424242,y,?,Chinese
fee,low,2,2,2,0.424242,y,?,Mexican
public,low,1,2,2,0.424242,y,?,'Non Veg'
yes,medium,1,2,0,0.424242,y,?,Chinese
public,high,1,2,2,0.424242,y,?,Veg
yes,high,2,2,2,0.424242,y,?,'Non Veg'
public,low,2,2,1,0.424242,y,?,'Non Veg'
yes,low,2,2,2,0.424242,y,?,'Non Veg'
none,medium,2,2,2,0.424242,y,?,Veg
none,medium,2,2,2,0.424242,y,?,'Non Veg'
none,low,1,2,1,0.424242,y,?,Chinese
none,high,2,2,1,0.424242,y,?,Veg
yes,low,1,1,1,0.424242,y,?,'Non Veg'
yes,high,1,1,0,0.424242,y,?,Mexican
yes,high,0,0,2,0.424242,y,?,'Non Veg'
yes,high,1,1,1,0.424242,y,?,Chinese
